अ	a
च ौ प ा ल	c ou p aa l
च ौ ब ी स	c ou b ii s
च ौ ब ी स ो ं	c ou b ii s o N
च ौ र ् य ा ऐ ं श ी	c au r y aa ai N sh ii
च ौ व े च ा ळ ी स	c au w ee c aa lx ii s
च ौ स ष ् ट	c au s a sx tx
च ् य ा	c y aa
छ ः	ch a hq
छ क ् क न	ch a k k a n
छ क ् क न ल ा ल	ch a k k n a l aa l
छ ट	ch a tx
छ ँ ट न ी	ch a mq tx n ii
छ ं ट े	ch a N tx ee
छ ठ े छ म ा ह े	ch a txh ee ch m aa h ee
छ ड़ ी	ch a dxq ii
छ ड ़ ो ं	ch a dxq o N
छ त	ch a t
छ त ् त ी स ग ड	ch a t t ii s a g a dx
छ त ् त ी स ग ढ	ch a t t ii s a g a dxh
छ त ् र प त ी	ch a t r a p a t ii
छ ं द	ch a N d
छ प त ी	ch a p t ii
छ प र ा	ch a p a r aa
छ प ी	ch a p ii
छ प ् र ा	ch a p r aa
छ र ह र ी	ch a r ei h ei r ii
छ र ् र ा	ch a r r aa
छ ल	ch a l
छ ल न ा ए ँ	ch a l n aa ee mq
छ ल ी	ch a l ii
छ व ि	ch a w i
छ ह	ch a h
छ ा	ch aa
छ ा ँ ट ो	ch aa mq tx o
छ ा त ी	ch aa t ii
छ ा त ् र ो ं	ch aa t r o N
छ ा य ा	ch aa y aa
छ ा ँ व	ch aa mq w
छ ि ड ़ क न े	ch i dxq k a n ee
छ ि ड ़ ा	ch i dxq aa
छ ि ं द व ा ड ा	ch i N d a w aa dx aa
छ ि प	ch i p
छ ि प ा	ch i p aa
छ ि प ा त ी	ch i p aa t ii
छ ि प ी	ch i p ii
छ ि प ु ल ी	ch i p u l ii
छ ि य ा स ठ	ch i y aa s a txh
छ ि ल क ा	ch i l k aa
छ ि ल क े	ch i l k ee
छ ी न	ch ii n
छ ु ऍ ं	ch u ae N
छ ु क ्	ch u k
छ ु ट ् ट ि य ा ँ	ch u tx tx i y aa mq
छ ु ट ् ट ि य ो ं	ch u tx tx i y o N
छ ु ट ् ट ी	ch u tx tx ii
छ ु प क र	ch u p k a r
छ ु र ी	ch u r ii
छ ू	ch uu
छ ू ट	ch uu tx
छ ू ट ा	ch uu tx aa
छ ू ट े ग ा	ch uu tx ee g aa
छ ू न ा	ch uu n aa
छ ू न े	ch uu n ee
छ े ड़ छ ा ड़	ch ee dxq ch aa dxq
छ े ड ़ ी	ch ee dxq ii
छ े द	ch ee d
छ ॉ ँ ट	ch ax mq tx
छ ो ट ा	ch o tx aa
छ ो ट ा स ा	ch o tx aa s aa
छ ो ट ी	ch o tx ii
छ ो ट ी स ी	ch o tx ii s ii
छ ो ट े	ch o tx ee
छ ो ट े छ ो ट े	ch o tx ee ch o tx ee
छ ो ट े म ो ट े	ch o tx ee m o tx ee
छ ो ड ़	ch o dxq
छ ो ड़	ch o dxq
छ ो ड ़ क र	ch o dxq k a r
छ ो ड ़ त ी	ch o dxq t ii
छ ो ड़ त े	ch o dxq t ee
छ ो ड ़ न ा	ch o dxq n aa
छ ो ड ़ न े	ch o dxq n ee
छ ो ड़ न े	ch o dxq n ee
छ ो ड ़ न े व ा ल ा	ch o dxq n ee w aa l aa
छ ो ड ़ ा	ch o dxq aa
छ ो ड ू ँ	ch o dx uu mq
छ ो र	ch o r
छ ् त ् त ी स	ch t t ii s
ज ं क ् श न	j a N k sh a n
ज ग	j a g
ज ं ग	j a N g
ज ग त	j a g a t
ज ग द ं ब ा	j a g a d a N b aa
ज ग द ी श	j a g d ii sh
ज ग न ् न ा थ	j a g a n n aa th
ज ग म ग ा त ी	j a g m a g aa t ii
ज ग म ग ा त े	j a g m a g aa t ee
ज ं ग ल	j a N g a l
ज ं ग ल ी	j a N g l ii
ज ं ग ल े	j a N g l ee
ज ग ह	j a g a h
ज ग ा न े	j a g aa n ee
ज ग ा य ा	j a g aa y aa
ज ज	j a j
ज ं ज ग ि र च ं प ा	j a N j a g i r a c a N p aa
ज ं ज ी र े ं	j a N j ii r ee N
ज ड ़	j a dxq
ज ड़	j a dxq
ज ड ़ े ं	j a dxq ee N
ज ड ़ ो ं	j a dxq o N
ज त ् र ा	j a t r aa
ज त ् र े च ी	j a t r ee c ii
ज त ् र े त	j a t r ee t
ज त ् र े ल ा	j a t r ee l aa
ज त ् र ो त ् स व	j a t r o t s a w
ज त ् र ौ त ् स व	j a t r au t s a w
ज न	j a n
ज न क	j a n a k
ज न त ा	j a n a t aa
ज न त ा	j a n t aa
ज न म ा न स	j a n m aa n a s
ज न र ल	j a n a r a l
ज न र े ट र	j a n a r ee tx a r
ज न श त ा ब ् द ी	j a n a sh a t aa b d ii
ज न स ं प र ् क	j a n a s a N p a r k
ज न स म ु द ा य	j a n s a m u d aa y
ज न ह ि त	j a n a h i t
ज न ् न त	j a n n a t
ज न ् म	j a n m
ज न ् म द ि न	j a n m a d i n
ज न ् म द ि न	j a n m d i n
ज न ् म द ि व स	j a n m d i w a s
ज न ् म भ ू म ि	j a n m bh uu m i
ज न ् म ा ष ् ट म ी	j a n m aa sx tx a m ii
ज प ा न	j a p aa n
ज ब	j a b
ज ब क ि	j a b k i
ज ब ड़ ो ं	j a b dxq o N
ज ़ ब र द स ् त	jq a b r a d a s t
ज़ ब र द स ् त	jq a b r a d a s t
ज ब ल प ू र	j a b a l a p uu r
ज ब ा न	j a b aa n
ज ब ा ब	j a b aa b
ज ब ् त	j a b t
ज म	j a m
ज म क र	j a m k a r
ज म घ ट	j a m gh a tx
ज म त े	j a m t ee
ज म ल ी	j a m a l ii
ज म श े द प ु र	j a m sh ee d a p u r
ज म श े द प ू र	j a m a sh ee d a p uu r
ज म ा	j a m aa
ज म ा न े	j a m aa n ee
ज़ म ा न े	jq a m aa n ee
ज म ा य े	j a m aa y ee
ज म ा व	j a m aa w
ज म ी	j a m ii
ज म ी ं द ा र	j a m ii N d aa r
ज म ी ं द ा र ी	j a m ii N d aa r ii
ज म ी ं द ा र ो ं	j a m ii N d aa r o N
ज म ी न	j a m ii n
ज ़ म ी न	jq a m ii n
ज़ म ी न	jq a m ii n
ज म े	j a m ee
ज म ् म ू	j a m m uu
ज म ् ह ा ई	j a m h aa ii
ज य	j a y
ज य क ा र	j a y k aa r
ज य ं त ी	j a y a N t ii
ज य प ु र	j a y a p u r
ज य प ु र	j a y p u r
ज य प ू र	j a y a p uu r
ज य ा	j a y aa
ज र ा	j a r aa
ज़ र ा	jq a r aa
ज र ा स ा	j a r aa s aa
ज र ा स े	j a r aa s ee
ज र ु र	j a r u r
ज र ु र त	j a r u r a t
ज र ु र ी	j a r u r ii
ज र ू र	j a r uu r
ज़ र ू र	jq a r uu r
ज र ू र त	j a r uu r a t
ज़ र ू र त	jq a r uu r a t
ज र ू र ी	j a r uu r ii
ज ़ र ू र ी	jq a r uu r ii
ज ल	j a l
ज ल ज ं त ु	j a l j a N t u
ज ल त े	j a l t ee
ज ल द	j a l a d
ज ल द स ् य ु	j a l d a s y u
ज ल द े श	j a l d ee sh
ज ल न ा	j a l n aa
ज ल न ि ध ि	j a l n i dh i
ज ल प ा ई ग ु ड ी	j a l a p aa ii g u dx ii
ज ल ं ब	j a l a N b
ज ल म ग ् न	j a l m a g n
ज ल र ा श ि	j a l r aa sh i
ज ल व ा ऊ ँ	j a l w aa uu mq
ज ल व ा य ु	j a l w aa y u
ज ल स म ा ध ि	j a l s a m aa dh i
ज ल ा	j a l aa
ज ल ा ई	j a l aa ii
ज ल ा क र	j a l aa k a r
ज ल ा न े	j a l aa n ee
ज ल े	j a l ee
ज ल े ं ग ी	j a l ee N g ii
ज ल े ब ि य ा ँ	j a l ee b i y aa mq
ज ल े भ ु न े	j a l ee bh u n ee
ज ल ् द ी	j a l d ii
ज ल ् द ी ज ल ् द ी	j a l d ii j l d ii
ज ळ ग ा व	j a lx a g aa w
ज व ळ	j a w a lx
ज व ळ च े	j a w a lx a c ee
ज व ळ प ा स	j a w a lx a p aa s
ज व ळ ी ल	j a w a lx ii l
ज व ा न	j a w aa n
ज व ा न ी	j a w aa n ii
ज व ा ब	j a w aa b
ज श प ु र	j a sh p u r
ज श ् न	j a sh n
ज स ् ट	j a s tx
ज ह ा	j a h aa
ज ह ा ँ	j a h aa mq
ज ह ा ं	j a h aa N
ज ह ा ँ क ी त ह ा ँ	j a h aa mq k ii t h aa mq
ज ह ा ज़	j a h aa jq
ज ह ा न ा ब ा द	j a h aa n aa b aa d
ज ा	j aa
ज ा इ ए	j aa i ee
ज ा इ य े	j aa i y ee
ज ा ई ल	j aa ii l
ज ा ऊ	j aa uu
ज ा ऊ ँ	j aa uu mq
ज ा ऊ ं	j aa uu N
ज ा ऊ ँ ग ा	j aa uu mq g aa
ज ा ऊ ँ ग ी	j aa uu mq g ii
ज ा ऊ ं ग ी	j aa uu N g ii
ज ा ऊ न	j aa uu n
ज ा ऊ य ा त	j aa uu y aa t
ज ा ऍ ं ग े	j aa ae N g ee
ज ा ए	j aa ee
ज ा ए ँ	j aa ee mq
ज ा ए ं	j aa ee N
ज ा ए ग ा	j aa ee g aa
ज ा ए ग ी	j aa ee g ii
ज ा ए ँ ग ी	j aa ee mq g ii
ज ा ए ँ ग े	j aa ee mq g ee
ज ा ए ं ग े	j aa ee N g ee
ज ा ऐ ं ग े	j aa ee ee N g ee
ज ा ओ	j aa o
ज ा ओ ग ी	j aa o g ii
ज ा ओ ग े	j aa o g ee
ज ा क र	j aa k a r
ज ा क े ट	j aa k ee tx
ज ा ग	j aa g
ज ा ग त ि क	j aa g a t i k
ज ा ग त े	j aa g t ee
ज ा ग ृ त	j aa g rq t
ज ा ग े ं ग े	j aa g ee N g ee
ज ा ज ि म	j aa j i m
ज ा ट	j aa tx
ज ा ण ा र ी	j aa nx aa r ii
ज ा ण ा र ़ ् य ा	j aa nx aa rq y aa
ज ा ण ा र ् य ा	j aa nx aa r y aa
ज ा ण ् य ा	j aa nx y aa
ज ा ण ् य ा क र ी त ा	j aa nx y aa k a r ii t aa
ज ा ण ् य ा च ा	j aa nx y aa c aa
ज ा ण ् य ा स ा ठ ी	j aa nx y aa s aa txh ii
ज ा त	j aa t
ज ़ ा त	jq aa t
ज ा त ा	j aa t aa
ज ा त ा त	j aa t aa t
ज ा त ि	j aa t i
ज ा त ी	j aa t ii
ज ा त ी ं	j aa t ii N
ज ा त े	j aa t ee
ज ा त े ज ा त े	j aa t ee j aa t ee
ज ा त ो	j aa t o
ज ा त ो ड ा	j aa t o dx aa
ज ा द ू	j aa d uu
ज ा द ू ग र	j aa d uu g a r
ज ा न	j aa n
ज ा न क र	j aa n k a r
ज ा न क ा र ी	j aa n k aa r ii
ज ा न त ा	j aa n t aa
ज ा न त ी	j aa n t ii
ज ा न त ी ं	j aa n t ii N
ज ा न त े	j aa n t ee
ज ा न न ी	j aa n n ii
ज ा न न े	j aa n n ee
ज ा न ब ू झ	j aa n b uu jh
ज ा न व र	j aa n w a r
ज ा न ा	j aa n aa
ज ा न ा ई	j aa n aa ii
ज ा न ि ए	j aa n i ee
ज ा न ी प ह च ा न ी	j aa n ii p ei h ei c aa n ii
ज ा न ु ब ा ई च ी	j aa n u b aa ii c ii
ज ा न ू	j aa n uu
ज ा न ू ँ	j aa n uu mq
ज ा न े	j aa n ee
ज ा न े ं	j aa n ee N
ज ा न े प ह च ा न े	j aa n ee p ei h ei c aa n ee
ज ा न े व ा ल ा	j aa n ee w aa l aa
ज ा न े व ा ल े	j aa n ee w aa l ee
ज ा फ ् र ा ब ा द	j aa ph r aa b aa d
ज ा ं ब	j aa N b
ज ा ं भ ो र ा	j aa N bh o r aa
ज ा म ख े ड	j aa m a kh ee dx
ज ा म न ग र	j aa m a n a g a r
ज ा म न े र	j aa m a n ee r
ज ा म ु न	j aa m u n
ज ा म ो द	j aa m o d
ज ा य	j aa y
ज ा य क ा	j aa y k aa
ज ा य ग ा	j aa y g aa
ज ा य च ं	j aa y a c a N
ज ा य च े	j aa y a c ee
ज ा य द ा द	j aa y d aa d
ज ा य ल ा	j aa y a l aa
ज ा य े	j aa y ee
ज ा य े ग ा	j aa y ee g aa
ज ा य े ं ग े	j aa y ee N g ee
ज ा र ी	j aa r ii
ज ा ल	j aa l
ज ा ल ं ध र	j aa l a N dh a r
ज ा ल न ा	j aa l a n aa
ज ा ल न ् य ा ह ू न	j aa l a n y aa h uu n
ज ा ल स ा ज ी	j aa l s aa j ii
ज ा व ा	j aa w aa
ज ा व े	j aa w ee
ज ा श ी ल	j aa sh ii l
ज ा स ् त	j aa s t
ज ा ह ् न व ी	j aa h n w ii
ज ि ओ	j i o
ज ि ं क ल ी	j i N k a l ii
ज ि क ् र	j i k r
ज ि ं ज र	j i N j a r
ज ि ज ् ञ ा स ा	j i j nj aa s aa
ज ि त न ा	j i t n aa
ज ि त न ी	j i t n ii
ज ि त न े	j i t n ee
ज ि ं त ू र	j i N t uu r
ज ि द	j i d
ज ि ं द	j i N d
ज़ ि द	jq i d
ज ि ं द ग ी	j i N d g ii
ज ़ ि ं द ग ी	jq i N d g ii
ज ि ं द ल	j i N d a l
ज ि ं द ा	j i N d aa
ज ि ं द ा ल	j i N d aa l
ज ि द ् द	j i d d
ज़ ि द ् द ी	jq i d d ii
ज ि न	j i n
ज ि न क ा	j i n k aa
ज ि न क े	j i n k ee
ज ि न म े ं	j i n m ee N
ज ि न स े	j i n s ee
ज़ ि न ् द ग ी	jq i n d g ii
ज ि न ् ह े ं	j i n h ee N
ज ि न ् ह ो ं न े	j i n h o N n ee
ज ि ब ् र ा ल ् ट र	j i b r aa l tx a r
ज ि म ् म े द ा र ी	j i m m ee d aa r ii
ज ि य ा	j i y aa
ज ि य े	j i y ee
ज ि र ह	j i r a h
ज ि ल ा	j i l aa
ज ि ल े	j i l ee
ज ि ल े ट	j i l ee tx
ज ि ल ् ह ा	j i l h aa
ज ि ल ् ह ् य ा च े	j i l h y aa c ee
ज ि ल ् ह ् य ा त	j i l h y aa t
ज ि ल ् ह ् य ा त ी ल	j i l h y aa t ii l
ज ि स	j i s
ज ि स क ा	j i s k aa
ज ि स क ी	j i s k ii
ज ि स क े	j i s k ee
ज ि स क ो	j i s k o
ज ि स न े	j i s n ee
ज ि स म े ं	j i s m ee N
ज ि स स े	j i s s ee
ज ि स े	j i s ee
ज ी	j ii
ज ी ई	j ii ii
ज ी ऊ ँ ग ा	j ii uu mq g aa
ज ी ए स	j ii ee s
ज ी त	j ii t
ज ी त न े	j ii t n ee
ज ी त ा	j ii t aa
ज ी त ी ज ि त ा य ी	j ii t ii j i t aa y ii
ज ी त े	j ii t ee
ज ी ं द	j ii N d
ज ी न े	j ii n ee
ज ी न ् स	j ii n s
ज ी प	j ii p
ज ी प र	j ii p a r
ज ी र ो	j ii r o
ज ी व द ा न ी	j ii w a d aa n ii
ज ी व न	j ii w a n
ज ी व न क ा ल	j ii w n a k aa l
ज ी व ि त	j ii w i t
ज ु आ र ी	j u aa r ii
ज़ ु क ा म	jq u k aa m
ज ु ग ा ल ी	j u g aa l ii
ज ु च ं द ् र	j u c a N d r
ज ु ट	j u tx
ज ु ट ा	j u tx aa
ज ु ट े	j u tx ee
ज ु ड ़	j u dxq
ज ु ड़ े	j u dxq ee
ज ु द ा	j u d aa
ज ु न ं	j u n a N
ज ु न व ण े	j u n a w a nx ee
ज ु न ा ग ढ	j u n aa g a dxh
ज ु न े	j u n ee
ज ु न ् न र	j u n n a r
ज ु म र ा त ी	j u m r aa t ii
ज ु म ् म न	j u m m a n
ज ु ल ू स	j u l uu s
ज ु ल ू स ए ग ौ स ि य ा	j u l uu s a ee g au s i y aa
ज ु ह ू	j u h uu
ज ू ठ ी	j uu txh ii
ज ू त े	j uu t ee
ज ू त ो ं	j uu t o N
ज ू न	j uu n
ज ू न ू न	j uu n uu n
ज े ऊ र	j ee uu r
ज े ए स ड ब ् ल ् य ु	j ee ee s a dx a b l y u
ज े क े	j ee k ee
ज े क े ट	j ee k ee tx
ज े ज ु र ी	j ee j u r ii
ज े ज ू र ी	j ee j uu r ii
ज े ट	j ee tx
ज े त प ु र	j ee t a p u r
ज े न ि फ र	j ee n i ph a r
ज े ब	j ee b
ज े ब ी ए फ	j ee b ii ee ph
ज े ब ी ए ल	j ee b ii ee l
ज े ब ो ं	j ee b o N
ज े ल	j ee l
ज े व ी ए ल	j ee w ii ee l
ज े स े	j ee s ee
ज ै क ट	j ei k a tx
ज ै त	j ai t
ज ै त ा ख े ड ा	j ai t aa kh ee dx aa
ज ै स ल म े र	j ai s a l a m ee r
ज ै स ल म े र	j ei s l a m ee r
ज ै स ा	j ei s aa
ज ै स ी	j ei s ii
ज ै स े	j ei s ee
ज ॉ ब	j ax b
ज ॉ य र ा इ ड	j ax y a r aa i dx
ज ॉ र ् ज	j ax r j
ज ो	j o
ज ो ख ि म	j o kh i m
ज ो ड ़	j o dxq
ज ो ड़	j o dxq
ज ो ड ़ क र	j o dxq k a r
ज ो ड ़ त े	j o dxq t ee
ज ो ड ल े ल ी	j o dx a l ee l ii
ज ो ड ा य च ा	j o dx aa y a c aa
ज ो ड ी	j o dx ii
ज ो ड ़ ी	j o dxq ii
ज ो ड़ ी	j o dxq ii
ज ो त	j o t
ज ो त े	j o t ee
ज ो ध प ु र	j o dh a p u r
ज ो र	j o r
ज़ ो र	jq o r
ज ो र ज ो र	j o r j o r
ज़ ो र ज़ ो र	jq o r jq o r
ज़ ो र द ा र	jq o r d aa r
ज ो र ह ा ट	j o r a h aa tx
ज़ ो र ो ं	jq o r o N
ज ो श	j o sh
ज ो श ी	j o sh ii
ज ौ	j ou
ज ौ न प ु र	j au n a p u r
ज ् ञ ा त	j nj aa t
ज ् ञ ा न	j nj aa n
ज ् ञ ा न ी	j nj aa n ii
ज ् ञ ा न े श ् व र	j nj aa n ee sh w a r
ज ़ ् य ा द ा	jq y aa d aa
ज़ ् य ा द ा	jq y aa d aa
ज ् य ा द ा	j y aa d aa
ज ़ ् य ा द ा त र	jq y aa d aa t a r
ज ् य ु आ उ	j y u aa u
ज ् य ु ब ी ल े ं ट	j y u b ii l ee N tx
ज ् य ो त ि	j y o t i
ज ् व ल न श ी ल	j w a l n a sh ii l
ज ् व ा इ न	j w aa i n
ज ् व ा ल ा	j w aa l aa
झ क झ ो र	jh a k jh o r
झ क झ ो र क र	jh a k jh o r a k a r
झ ग ड ़ ू	jh a g dxq uu
झ ं झ ट	jh a N jh a tx
झ ट	jh a tx
झ ट क े	jh a tx k ee
झ ट प ट	jh a tx p a tx
झ ट स े	jh a tx s ee
झ प क ी	jh a p k ii
झ प ट	jh a p a tx
झ प ट त ी	jh a p tx a t ii
झ प ट ा	jh a p tx aa
झ म े ल े	jh a m ee l ee
झ र झ र	jh a r jh a r
झ ल म ल ा	jh a l m a l aa
झ ल ् ल ा य ा	jh a l l aa y aa
झ ल ् ल ा य े	jh a l l aa y ee
झ ा ँ क	jh aa mq k
झ ा ँ क ा	jh aa mq k aa
झ ा ँ क ी	jh aa mq k ii
झ ा ड़ त ा	jh aa dxq t aa
झ ा ड ़ न े	jh aa dxq n ee
झ ा ड ु ट ो ल ा	jh aa dx u tx o l aa
झ ा ड ़ ू	jh aa dxq uu
झ ा य ड स	jh aa y a dx a s
झ ा र ख ं ड	jh aa r a kh a N dx
झ ा र प	jh aa r a p
झ ा ल ं	jh aa l a N
झ ा ल ं य	jh aa l a N y
झ ा ल ा	jh aa l aa
झ ा ल ा य	jh aa l aa y
झ ा ल ी	jh aa l ii
झ ा ल े	jh aa l ee
झ ा ल ् य ा व र	jh aa l y aa w a r
झ ा श ी	jh aa sh ii
झ ा श ी च े	jh aa sh ii c ee
झ ि ं क	jh i N k
झ ि म ् ब ा ब ् व े	jh i m b aa b w ee
झ ी ल	jh ii l
झ ु क	jh u k
झ ु क क र	jh u k k a r
झ ु क त े	jh u k t ee
झ ु क न ा	jh u k n aa
झ ु क न े	jh u k n ee
झ ु क ा	jh u k aa
झ ु क ा क र	jh u k aa k a r
झ ु क ा न े	jh u k aa n ee
झ ु क ा य े	jh u k aa y ee
झ ु क ी	jh u k ii
झ ु ँ झ ल ा	jh u mq jh l aa
झ ु ं ड	jh u N dx
झ ु र ् र ि य ा ँ	jh u r r i y aa mq
झ ु ल ा ए	jh u l aa ee
झ ू ठ	jh uu txh
झ ू ठ म ू ठ	jh uu txh m uu txh
झ ू ठ ी	jh uu txh ii
झ ू ल त े	jh uu l t ee
झ ू ल न ा	jh uu l n aa
झ ू ल न े	jh uu l n ee
झ ू ल ा	jh uu l aa
झ ू ल े	jh uu l ee
झ े न ि थ ए क ् स प ो	jh ee n i th a ee k s a p o
झ े ल	jh ee l
